dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
GSE25837,py_tsp,python_gene_pair,25,0.4212865497076023,0.08365298973666394,0.42614285714285716,0.13227840538278443,0.3726581850939202,0.08094810000365756,-0.12935962810239401,0.24813893728937966
GSE25837,py_reos_svm,python_gene_pair,25,0.5527485380116959,0.0981329995994581,0.3917142857142857,0.08676023533493989,0.383011097370886,0.07688521579290422,-0.22282617210132202,0.15917026745691734
GSE25837,py_tsp_svm,python_gene_pair,25,0.5527485380116959,0.0981329995994581,0.3917142857142857,0.08676023533493989,0.383011097370886,0.07688521579290422,-0.22282617210132202,0.15917026745691734
GSE25837,switchbox_ktsp,R,25,0.38479532163742697,0.11648600726536511,0.38542857142857145,0.13150958295182616,0.3479633961428013,0.10682793186795822,-0.20921627289598999,0.22912477082238894
GSE25837,py_reos,python_gene_pair,25,0.36736842105263157,0.10742341467697403,0.34528571428571425,0.12125653078701949,0.32171888037347396,0.09272712731296127,-0.27486170860457976,0.20676874030884787
GSE27272,svm_linear,R,25,0.6403003003003005,0.07948991114160729,0.5749314685314685,0.09925748452291887,0.5706821940409781,0.1002957900851131,0.14752819662034825,0.2021680306685992
GSE27272,py_reos,python_gene_pair,25,0.4753753753753754,0.07434233257736587,0.5399244755244755,0.11573414763478225,0.4632188263758629,0.07869841430360446,0.09012590192069742,0.23325053608678661
GSE27272,ranger_rf,R,25,0.6886186186186188,0.04226782288140008,0.5223580419580418,0.04888813606171034,0.48592031786385087,0.0669944761122228,0.08688763694930048,0.16412215379130826
GSE27272,rrf_ranktreeensemble,R,25,0.6643243243243246,0.055310819594738554,0.5079664335664336,0.037855346449299415,0.4527216703043793,0.061268705129611835,0.017766461226015613,0.12276566292332727
GSE27272,xgboost_shallow,R,25,0.6863063063063066,0.03801601952154884,0.5061034965034965,0.044711341738636175,0.4486819429752575,0.06956102961333001,0.015148837715679275,0.17723937400401032
GSE27272,py_tsp,python_gene_pair,25,0.48732732732732736,0.052867247391439325,0.5039272727272727,0.08313906156823168,0.45759402000331156,0.05551397333288904,0.010948681207185073,0.16423970189887147
GSE27272,switchbox_tsp,R,25,0.48402402402402417,0.05434674953297981,0.5005398601398602,0.08241696971891042,0.4545570551684744,0.05601335155231792,0.004163854100392519,0.16264894063967789
GSE27272,majority,R,25,0.6993993993993998,0.0041291291291290135,0.5,0.0,0.41155347384855623,0.001431173562320998,0.0,0.0
GSE27272,glmnet_enet,R,25,0.6983183183183186,0.006231231231231182,0.49923076923076926,0.003846153846153797,0.4111745695986842,0.0021757004131964723,-0.00433629090391996,0.0216814545195998
GSE27272,py_tsp_rf,python_gene_pair,25,0.6688288288288288,0.04315256278839924,0.498855944055944,0.03828149148539953,0.45282473626783515,0.0518310668916357,0.0008025614590868025,0.12982133574466936
GSE27272,rpart_tree,R,25,0.5632732732732735,0.06554091319162923,0.4763216783216783,0.06645036592889988,0.4744328518909438,0.06553057832835375,-0.04567165602304483,0.13406565912655907
GSE27272,switchbox_ktsp,R,25,0.4634834834834836,0.06979555747514828,0.4753734265734266,0.07488822061299936,0.44232113933129413,0.06692049993086027,-0.046965025829123624,0.13977882417973325
GSE27272,py_reos_svm,python_gene_pair,25,0.574894894894895,0.07164993312712387,0.4731832167832168,0.06829774413583065,0.47003331395922154,0.06869351202024601,-0.05198633455730625,0.14331137921880582
GSE27272,py_tsp_svm,python_gene_pair,25,0.574894894894895,0.07164993312712387,0.4731832167832168,0.06829774413583065,0.47003331395922154,0.06869351202024601,-0.05198633455730625,0.14331137921880582
GSE27272,pyrrm_knn5,pyrrm,25,0.6163963963963964,0.05962188447581799,0.4697706293706294,0.056570374145814534,0.44216950094383917,0.06181735155571063,-0.07636596646308655,0.1352167128758587
GSE27272,knn_euclidean,R,25,0.6109909909909913,0.05637245030556818,0.46382657342657346,0.05667972198802527,0.4350812006057378,0.06398995898484679,-0.09395654855516515,0.13878827975985178
GSE3365,svm_linear,R,25,0.9431999999999999,0.04993471082491262,0.9426633986928104,0.05217548130173804,0.9369577284378792,0.055121016109786036,0.879622054374782,0.1072320995782975
GSE3365,glmnet_enet,R,25,0.9433846153846153,0.03932868624973593,0.9416176470588234,0.04635626842575171,0.9365070723316503,0.044512293531449774,0.8797029228487472,0.0841212747544065
GSE3365,xgboost_shallow,R,25,0.8902153846153845,0.06088576946279744,0.8692810457516339,0.07957520883380573,0.8714869904183796,0.07610128852131233,0.7577630125233822,0.13839385430116077
GSE3365,py_tsp_rf,python_gene_pair,25,0.8806153846153846,0.06492599337233598,0.8664052287581699,0.07553420864460272,0.8644193517363895,0.07438473395473877,0.7391627989395901,0.14336244835564627
GSE3365,pyrrm_knn5,pyrrm,25,0.8474461538461538,0.061884730920514955,0.8653921568627451,0.06075031315182,0.8379162017864443,0.06309161010876013,0.7020178313234112,0.11415941936428535
GSE3365,ranger_rf,R,25,0.891876923076923,0.07381746237496443,0.8627941176470588,0.09404887427265883,0.8711276811865046,0.09238969998735068,0.7548112881601835,0.17531887751223327
GSE3365,py_tsp_svm,python_gene_pair,25,0.8537846153846154,0.07812961465661107,0.837140522875817,0.08035684845981637,0.8355235244409068,0.08602632124962754,0.6830073891655024,0.1651760922125544
GSE3365,py_reos_svm,python_gene_pair,25,0.8521230769230769,0.07827695734558193,0.83359477124183,0.081743407917004,0.833047504303122,0.08638251016542482,0.6775733177701645,0.16746776400984192
