dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GSE17920,ranger_rf,R,25,0.7923076923076924,0.0555144489605409,0.6666186299081036,0.0849731265841001,0.6822575018894987,0.1025140656699879,0.444288475133178,0.203865912334095,1.0
GSE17920,xgboost_shallow,R,25,0.7769230769230769,0.0508798329050884,0.6469340016708438,0.077765423790926,0.6574910907623389,0.0978915113037209,0.3937058775947085,0.197037862013838,2.0
GSE17920,rpart_tree,R,25,0.7123076923076923,0.0786034413126632,0.6339870509607352,0.0944099065323073,0.6337534199086111,0.0968123719905222,0.2857590204137348,0.1902338817805025,3.0
GSE17920,svm_linear,R,25,0.6846153846153845,0.0895143592549292,0.6216019214703425,0.1081150769560594,0.615422267312077,0.1075491463974532,0.2451748315940528,0.215749020273907,4.0
GSE17920,switchbox_tsp,R,25,0.5784615384615384,0.0870568519044356,0.5801482873851296,0.085887023815673,0.5488189204809197,0.0804206359301147,0.1510741571343502,0.1582517157817877,5.0
GSE17920,py_tsp,python_gene_pair,25,0.5784615384615385,0.0870568519044356,0.5801482873851295,0.085887023815673,0.5488189204809197,0.0804206359301146,0.1510741571343502,0.1582517157817876,6.0
GSE17920,py_reos_svm,python_gene_pair,25,0.6615384615384614,0.0823412344786226,0.5796679197994987,0.1063806797653821,0.5734485846604513,0.1107697709740993,0.1626096626397273,0.2204049569684731,7.0
GSE17920,py_tsp_svm,python_gene_pair,25,0.6615384615384614,0.0823412344786226,0.5796679197994987,0.1063806797653821,0.5734485846604513,0.1107697709740993,0.1626096626397273,0.2204049569684731,7.0
GSE17920,rrf_ranktreeensemble,R,25,0.6276923076923075,0.1039885064199675,0.575123224728488,0.0905382201376796,0.5589964537363253,0.0963097856547931,0.1518595991661823,0.1790502843070852,9.0
GSE17920,py_tsp_rf,python_gene_pair,25,0.6907692307692308,0.0715081270122273,0.5624060150375939,0.0912660065466599,0.5575326718638657,0.1075066843218367,0.1532845766848871,0.2238445180374577,10.0
GSE17920,tspdt_bigtsp,R,25,0.6276923076923077,0.09850960365281301,0.5501274018379282,0.1128350612117743,0.5432450211960003,0.11206698823682372,0.10673686560038086,0.22658561888412967,11.0
GSE17920,glmnet_enet,R,25,0.7061538461538461,0.045616530447839,0.5459774436090225,0.0617989161668807,0.5094356478624938,0.0920931691607111,0.1308385315590326,0.1711401983596374,12.0
GSE17920,switchbox_ktsp,R,25,0.5707692307692306,0.0997284280876635,0.5454887218045114,0.098761960834151,0.5269004640293374,0.093796329879788,0.0903576367159122,0.186103034720637,13.0
GSE17920,py_reos,python_gene_pair,25,0.5415384615384615,0.068370726287043,0.542124060150376,0.0755367570760755,0.5126575470938579,0.0646606043139805,0.0791669308246339,0.138950112916687,14.0
GSE17920,pyrrm_knn5,pyrrm,25,0.6615384615384614,0.0618182741089291,0.5252443609022557,0.0679362271387089,0.5132395233929401,0.081403393178454,0.0650066635040652,0.1669308800537064,15.0
GSE17920,knn_euclidean,R,25,0.6692307692307692,0.0628074293021327,0.5195718462823726,0.0788519748379299,0.4991640421189633,0.0988122236309648,0.0494308024881493,0.2050708861843732,16.0
GSE17920,majority,R,25,0.7076923076923076,0.0192307692307694,0.5,0.0,0.4143434343434342,0.0065656565656565,0.0,0.0,17.0
GSE19804,py_reos,python_gene_pair,25,0.9583333333333331,0.0340206908719885,0.9583333333333331,0.0340206908719885,0.9582432350258436,0.0341026155422684,0.9192528340222806,0.0666271218344494,1.0
GSE19804,py_tsp_rf,python_gene_pair,25,0.9583333333333336,0.039892796156514,0.9583333333333331,0.039892796156514,0.9581784843176148,0.0401299934714415,0.919868576296388,0.0767812108105612,1.0
GSE19804,py_reos_svm,python_gene_pair,25,0.9566666666666668,0.0389384604691005,0.9566666666666666,0.0389384604691005,0.9565089191002236,0.0391744359869042,0.9166632247367,0.074947370973503,3.0
